Throttle,Engine Speed,Vehicle Speed,Gear
99.609184,nan,nan,4.0
99.438248,nan,nan,4.0
99.511505,nan,nan,4.0
99.487083,nan,nan,4.0
99.316147,nan,nan,4.0
99.633598,nan,nan,4.0
99.21846,nan,nan,4.0
99.535927,nan,nan,4.0
99.535927,nan,nan,4.0
99.023094,nan,nan,4.0
99.21846,nan,nan,4.0
99.511505,nan,nan,4.0
99.65802,nan,nan,4.0
99.487083,nan,nan,4.0
99.389404,nan,nan,4.0
99.560341,nan,nan,4.0
99.438248,nan,nan,4.0
98.901001,nan,nan,4.0
99.487083,nan,nan,4.0
99.462662,nan,nan,4.0
99.438248,nan,nan,4.0
98.901001,nan,nan,4.0
99.340561,nan,nan,4.0
99.242882,nan,nan,4.0
99.462662,nan,nan,4.0
99.535927,nan,nan,4.0
98.949837,nan,nan,4.0
99.560341,nan,nan,4.0
99.071945,nan,nan,4.0
99.584763,nan,nan,4.0
99.462662,nan,nan,4.0
99.535927,nan,nan,4.0
99.438248,nan,nan,4.0
99.413826,nan,nan,4.0
99.487083,nan,nan,4.0
98.99868,nan,nan,4.0
99.023094,nan,nan,4.0
99.462662,nan,nan,4.0
99.169624,nan,nan,4.0
99.340561,nan,nan,4.0
99.560341,nan,nan,4.0
99.145203,nan,nan,4.0
99.438248,nan,nan,4.0
99.511505,nan,nan,4.0
99.584763,nan,nan,4.0
99.242882,nan,nan,4.0
99.340561,nan,nan,4.0
99.609184,nan,nan,4.0
99.21846,nan,nan,4.0
99.584763,nan,nan,4.0
99.389404,nan,nan,4.0
99.633598,nan,nan,4.0
99.511505,nan,nan,4.0
99.462662,nan,nan,4.0
99.242882,nan,nan,4.0
99.487083,nan,nan,4.0
99.560341,nan,nan,4.0
98.99868,nan,nan,4.0
99.633598,nan,nan,4.0
99.242882,nan,nan,4.0
99.316147,nan,nan,4.0
99.609184,nan,nan,4.0
99.267303,nan,nan,4.0
99.120781,nan,nan,4.0
99.682442,nan,nan,4.0
99.487083,nan,nan,4.0
98.974258,nan,nan,4.0
99.535927,nan,nan,4.0
99.242882,nan,nan,4.0
99.047523,nan,nan,4.0
99.364983,nan,nan,4.0
99.389404,nan,nan,4.0
99.535927,nan,nan,4.0
99.242882,nan,nan,4.0
99.242882,nan,nan,4.0
99.047523,nan,nan,4.0
99.413826,nan,nan,4.0
98.901001,nan,nan,4.0
99.242882,nan,nan,4.0
98.949837,nan,nan,4.0
99.65802,nan,nan,4.0
99.535927,nan,nan,4.0
99.511505,nan,nan,4.0
99.194046,nan,nan,4.0
99.462662,nan,nan,4.0
99.023094,nan,nan,4.0
99.633598,nan,nan,4.0
99.145203,nan,nan,4.0
99.535927,nan,nan,4.0
99.413826,nan,nan,4.0
99.560341,nan,nan,4.0
99.316147,nan,nan,4.0
99.633598,nan,nan,4.0
99.413826,nan,nan,4.0
99.242882,nan,nan,4.0
99.511505,nan,nan,4.0
99.535927,nan,nan,4.0
99.535927,nan,nan,4.0
99.242882,nan,nan,4.0
99.413826,nan,nan,4.0
99.242882,nan,nan,4.0
99.462662,nan,nan,4.0
99.584763,nan,nan,4.0
98.901001,nan,nan,4.0
99.340561,nan,nan,4.0
99.145203,nan,nan,4.0
99.267303,nan,nan,4.0
99.242882,nan,nan,4.0
99.535927,nan,nan,4.0
99.096367,nan,nan,4.0
99.023094,nan,nan,4.0
99.145203,nan,nan,4.0
99.633598,nan,nan,4.0
99.633598,nan,nan,4.0
